category,value,sortOrder,createdAt,createdBy,updatedAt,updatedBy
Legal Employer,International Agency for Research on Cancer,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,UN Women,2,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations Capital Development Fund,3,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations Development Programme,4,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations Population Fund,5,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations Institute for Training and Research,6,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations System Staff College,7,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations Volunteers,8,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,World Meteorological Organization,9,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,United Nations University,10,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,International Civil Aviation Organization,11,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
Legal Employer,Multi-Partner Trust Fund Office,12,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),1 Volunteer National Expert,1,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),1-UN Volunteers-National Expert,2,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),2 Volunteer International Expert,3,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),2-UN Volunteers-International Expert,4,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),3 Volunteer National Associate,5,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),4 Volunteer International Associate,6,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),B-UN Volunteers-Intl.Youth,7,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),C-UN Volunteers-Intl.University,8,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),D-UN Volunteers-National Youth,9,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),E-UN Volunteers-National. University,10,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
People Group 1 (Eligibility Group),F-Interpreter,11,2026-01-15T09:00:00Z,system.etl,2026-01-15T09:00:00Z,system.etl
